"user_id","order_date"
5962,2014-07-14
7228,2014-06-22
10334,2014-05-18
3772,2014-08-04
3630,2014-06-27
2824,2014-05-27
3304,2014-06-10
9728,2014-07-22
5744,2014-06-19
9078,2014-08-01
5306,2014-06-24
10764,2014-06-22
10546,2014-07-17
4600,2014-05-31
7424,2014-06-28
9520,2014-06-13
1586,2014-06-19
9984,2014-08-01
5748,2014-07-15
2340,2014-07-01
8352,2014-06-25
2400,2014-06-22
3400,2014-07-26
7566,2014-08-04
5740,2014-07-08
4776,2014-08-09
1050,2014-08-02
9748,2014-05-30
4768,2014-07-29
8568,2014-07-24
2470,2014-06-24
7082,2014-07-20
1440,2014-06-10
10502,2014-06-30
9706,2014-08-09
1452,2014-07-20
10520,2014-06-06
3614,2014-06-28
10588,2014-08-15
7262,2014-07-19
3140,2014-07-15
7520,2014-08-01
8688,2014-07-14
4352,2014-07-08
1208,2014-06-27
8090,2014-07-22
2026,2014-07-20
9724,2014-07-26
7350,2014-07-12
3300,2014-06-03
2496,2014-07-26
10614,2014-05-17
2052,2014-05-21
10168,2014-05-17
9526,2014-07-19
6700,2014-07-28
1306,2014-06-18
5578,2014-06-29
6210,2014-07-14
3240,2014-07-31
10858,2014-06-20
9566,2014-08-04
6608,2014-06-18
6090,2014-07-09
5634,2014-06-04
6286,2014-08-01
8664,2014-08-09
8856,2014-08-04
3670,2014-05-30
5892,2014-08-15
7900,2014-05-30
6510,2014-08-06
4504,2014-08-03
10004,2014-05-30
10628,2014-07-03
5644,2014-07-26
5156,2014-05-23
3696,2014-07-10
7194,2014-08-09
7984,2014-07-22
2896,2014-06-26
5102,2014-06-22
10474,2014-07-01
10600,2014-06-04
9808,2014-06-05
4248,2014-07-21
6258,2014-05-21
2242,2014-06-29
1078,2014-05-30
10118,2014-06-26
10786,2014-08-15
1550,2014-05-17
4374,2014-05-27
1946,2014-05-30
9562,2014-08-06
10166,2014-07-07
9666,2014-06-17
5918,2014-08-12
3004,2014-07-10
3302,2014-08-11
5446,2014-06-05
2122,2014-08-04
7070,2014-08-15
3944,2014-08-06
10320,2014-08-01
6296,2014-05-23
9496,2014-07-30
10496,2014-06-27
9540,2014-07-02
2614,2014-07-29
1964,2014-07-06
3616,2014-07-08
7712,2014-07-08
2926,2014-06-17
10444,2014-07-07
5824,2014-06-01
2858,2014-06-01
8374,2014-06-04
7730,2014-06-20
7870,2014-07-23
3342,2014-07-28
3780,2014-05-28
10566,2014-05-27
9762,2014-06-04
8664,2014-06-15
4222,2014-06-06
1666,2014-06-03
7808,2014-07-16
6428,2014-05-30
7080,2014-06-10
2182,2014-07-12
6350,2014-06-16
6542,2014-07-10
8354,2014-05-29
6286,2014-07-25
8584,2014-08-05
3906,2014-08-15
9164,2014-06-09
1222,2014-07-06
8262,2014-05-28
7794,2014-07-19
5016,2014-07-11
3402,2014-05-20
6058,2014-06-14
4210,2014-07-16
4058,2014-05-25
9840,2014-08-06
7920,2014-07-30
9040,2014-08-12
5696,2014-08-12
8576,2014-08-01
1900,2014-08-11
6958,2014-05-24
2404,2014-08-03
6850,2014-08-01
7390,2014-07-07
3268,2014-06-21
8126,2014-07-31
7330,2014-08-11
1650,2014-05-30
10180,2014-07-11
2030,2014-07-21
7782,2014-07-17
2652,2014-07-03
2988,2014-07-05
8830,2014-06-13
